id,name,address,phone,category,description,lat,lng
34,Giwa Hospital,"Ahmadu Bello Way, Unguwar Shanu, Kaduna",,Hospital,"Hospital with round-the-clock, power-critical equipment. Source: OpenStreetMap.",10.54309,7.433136
35,Yusuf Dantsoho,"Enugu Road, Sabon Gari South, Kaduna",,Hospital,"Hospital with round-the-clock, power-critical equipment. Source: OpenStreetMap.",10.5202,7.416254
36,Jodeb Hospital,"Yoruba Road, Sardauna, Kaduna",,Hospital,"Hospital with round-the-clock, power-critical equipment. Source: OpenStreetMap.",10.509897,7.427612
37,West Point,"Muri Road, Dadi Riba, Kaduna",,Restaurant,"Restaurant with refrigeration, cooking and cooling load. Source: OpenStreetMap.",10.505088,7.430781
38,One Nigeria Hotel,"Muri Road, Kaduna",,Hotel,"Hotel with air conditioning, water pumps and 24-hour reception load. Source: OpenStreetMap.",10.504744,7.430455
39,Unguwar Shanu Phc,"Unguwar Shanu, Kaduna North, Kaduna",,Clinic,"Clinic with lighting, fridges and diagnostic equipment. Source: OpenStreetMap.",10.546605,7.437862
40,"General Hospital, Sabon Tasha","Kachia Road, Sabon Tasha, Kaduna",,Clinic,"Clinic with lighting, fridges and diagnostic equipment. Source: OpenStreetMap.",10.450696,7.468214
41,Muffins & Brownies,"Isa Kaita Road, Kaduna",,Restaurant,"Restaurant with refrigeration, cooking and cooling load. Source: OpenStreetMap.",10.54563,7.450382
42,Oxford Hospital,"38, Air Force-Samaru Road, Makera, Kaduna",,Hospital,"Hospital with round-the-clock, power-critical equipment. Source: OpenStreetMap.",10.467976,7.408227
43,Digibizng,"Power Plant Road, Agwa Extension, New Kudenda Layout, Kaduna, Kaduna",,Amenity,Business with daily commercial power needs. Source: OpenStreetMap.,10.461084,7.384033
44,Maimuna Gwarzo,"2, Chanchangi Road Rigasa, Kaduna, Kaduna",,School,"School with computer lab, fans and lighting. Source: OpenStreetMap.",10.524997,7.407857
45,Kaedco,"Ahmadu Bello Way, Kaduna",,Office,"Office with IT, lighting and air conditioning load. Source: OpenStreetMap.",10.529768,7.429004
46,Gss Doka Boys School,"Lagos Street, Dadi Riba, Kaduna",,School,"School with computer lab, fans and lighting. Source: OpenStreetMap.",10.504014,7.429139
47,Chanchangi Airlines Guesthouse,"5/6 B, Kachia Road, Kaduna",,Industrial,Industrial facility with heavy machinery demand. Source: OpenStreetMap.,10.473263,7.420839
48,National Ear Care Center,"Golf Course Road, Kaduna North, Kaduna",,Hospital,"Hospital with round-the-clock, power-critical equipment. Source: OpenStreetMap.",10.519269,7.441369
49,44 Nigerian Army Reference Hospital,"Sokoto Road, Tudun Nupawa, Kaduna",,Hospital,"Hospital with round-the-clock, power-critical equipment. Source: OpenStreetMap.",10.53375,7.420893
50,Alkali Stores,"Alkali Road, Kaduna",,Department Store,Department store with high lighting and cooling load. Source: OpenStreetMap.,10.537279,7.441957
